D_foul1 (m),D_foul2 (m),D_foul3 (m),mfr1 (kg/s),mfr2 (kg/s),Inner inlet temperature (K),Inner outlet temperature (K),Outer inlet temperature (K),Outer outlet temperature (K),Inner Pressure Drop (Pa),Outer Pressure Drop (Pa)
9.53E-04,5.32E-04,5.96E-04,1.496,0.499,345.02,342.71,304.52,310.78,1265.1,6.6767
8.78E-04,0.001002,0.001372,0.75,1.452,346.6,339.92,294.26,297.42,371.99,50.079
0.001018,0.001107,5.72E-04,0.689,1.53,371.15,361.06,302.7,306.74,309.95,50.373
7.23E-04,6.75E-04,6.06E-04,0.328,0.497,344.98,337.06,304.9,309.81,100.42,6.7765
3.42E-04,8.89E-04,0.001416,1.635,1.66,363.1,358.3,308.96,313.06,1267,62.67
0.001117,7.30E-04,8.02E-04,1.643,0.807,343.07,340.68,302.32,306.7,1551.8,15.437
0.001105,3.58E-04,0.001218,1.58,1.053,362.31,357.48,304.94,311.3,1387.2,24.993
5.57E-04,6.18E-04,4.45E-04,1.888,0.639,362.14,358.9,304.94,313.22,1709.4,9.6471
7.99E-04,4.84E-04,0.001268,0.649,1.118,350.73,341.81,294.74,299.53,283.15,29.065
0.001172,9.73E-04,0.001089,1.597,0.532,363.23,359.74,290.5,299.73,1428.4,8.6237
1.34E-04,9.00E-04,6.60E-04,1.719,1.08,358.45,354.71,303.9,309.18,1342.4,25.718
8.35E-04,8.36E-04,6.70E-05,1.55,2.393,353.53,348.9,303.64,306.3,1294.6,109.27
3.44E-04,1.77E-04,1.17E-04,1.337,0.604,353.99,350.03,309.4,317.24,902.43,8.1054
9.85E-04,4.94E-04,4.28E-04,0.132,2.076,346.37,320.71,293.14,294.7,20.64,88.127
5.71E-04,0.00112,0.001241,1.149,0.721,368.48,363.24,303.18,310.41,699.23,13.413
2.57E-04,7.74E-04,8.00E-04,0.469,1.986,359.21,342.81,291.48,295.08,147.09,84.784
8.45E-04,5.44E-04,0.001132,1.628,2.462,351.29,346.6,307.06,309.87,1423.1,123.12
2.54E-04,7.08E-04,1.90E-04,0.809,0.717,340.96,336.66,303.2,307.64,380.68,11.863
2.98E-04,6.40E-04,9.59E-04,1.546,0.702,349.27,346.32,306.36,312.23,1169.1,11.968
9.95E-04,0.001162,1.26E-04,1.764,0.471,345.48,343.53,293.94,300.49,1708.1,6.5602
9.42E-04,3.07E-04,0.001131,0.776,2.298,357.79,345.32,297.9,301.77,390.73,110.98
8.86E-04,9.85E-04,0.001208,0.566,2.298,370.92,355.88,295.24,298.57,216.62,117.6
0.001105,7.50E-04,0.001299,1.107,0.61,360.63,355.42,291.9,300.32,739.64,10.727
8.61E-04,3.04E-04,2.11E-04,0.459,0.99,340.96,331.91,296.24,300.24,171.56,20.837
0.001033,0.001118,5.40E-05,0.328,1.986,360.43,344.7,300.16,302.57,100.26,79.362
3.39E-04,4.65E-04,0.001226,0.757,1.767,341.58,335.23,309.12,311.63,346.05,67.662
1.33E-04,9.64E-04,0.001143,0.524,2.103,360.26,347.13,301.84,304.84,169.67,97.369
2.77E-04,1.89E-04,0.001381,1.707,0.927,342.54,339.37,304.4,309.72,1412,19.906
3.77E-04,8.38E-04,1.05E-04,0.795,2.376,349.93,341.93,302.2,304.66,370.59,109.03
0.001008,0.001116,0.001423,0.476,2.204,363.27,351.42,307.98,310.32,168.13,108.52
1.13E-04,5.38E-04,7.58E-04,1.561,2.41,367.29,358.54,298.58,303.64,1111.8,117.32
0.001002,6.50E-04,4.94E-04,1.377,0.919,356.43,351.85,296,302.04,1076.8,19.022
4.17E-04,7.48E-04,1.23E-04,1.326,2.336,344.98,339.31,292.66,295.63,924.82,107.72
1.34E-04,4.83E-04,6.11E-04,0.879,1.698,350.3,342.11,303.68,307.56,421.05,59.29
2.13E-04,9.20E-05,8.68E-04,0.626,0.938,343.5,335.3,301.42,306.52,244.09,19.376
5.10E-04,9.72E-04,3.34E-04,1.405,1.521,369.07,362.48,290.32,295.67,988.85,48.735
4.20E-04,6.28E-04,9.77E-04,1.643,2.233,367.98,361.01,303.22,307.77,1288.2,103.6
2.42E-04,6.04E-04,0.001348,0.128,1.965,357.06,324.3,293.06,295.07,16.787,87.661
3.11E-04,0.001147,2.57E-04,1.592,0.719,342.51,340.02,295.82,300.73,1254.4,12.916
1.16E-04,6.67E-04,2.77E-04,0.89,1.188,358.18,351.27,309.74,314.43,418.8,29.107
1.58E-04,4.38E-04,4.99E-04,1.937,1.139,359.34,354.64,296.82,303.94,1668.4,27.274
5.44E-04,2.95E-04,0.001321,1.116,0.616,349.01,343.86,290.2,298.76,691.08,10.725
3.31E-04,8.46E-04,6.83E-04,1.058,0.467,349.7,346.45,306.32,312.99,600.67,6.0942
4.23E-04,0.001176,2.63E-04,0.429,2.24,345.48,335.71,301.52,303.29,139.92,101.91
0.001102,6.30E-05,3.34E-04,1.004,0.807,367.29,359.82,307.64,315.94,614.49,13.534
9.80E-04,5.88E-04,0.001377,0.351,1.227,371.05,350.64,291.96,297.31,102.57,35.265
7.63E-04,3.04E-04,0.001423,1.472,0.503,350.79,347.2,292.44,302.02,1170,7.6724
5.85E-04,3.69E-04,2.22E-04,0.83,2.053,348.35,339.99,305.26,308.37,417.98,81.004
1.14E-04,0.001224,9.54E-04,0.944,0.765,343.99,339.59,292.04,297.02,480.31,15.838
3.23E-04,2.58E-04,8.90E-05,0.676,1.062,344.32,336.26,297.3,302.06,282.79,22.989
8.57E-04,2.70E-04,8.49E-04,0.227,1.698,358.61,333.93,298.62,301.7,53.485,60.761
0.001156,7.50E-04,0.00145,0.888,0.612,364.88,358.27,294.64,303.22,502.22,10.707
0.001036,0.001015,3.36E-04,1.759,0.486,369.14,366.18,304.18,313.47,1633.2,6.2888
9.30E-04,0.00106,8.65E-04,1.318,1.019,353.43,349.22,293.18,298.02,988.36,24.778
0.00117,6.33E-04,3.58E-04,1.802,0.929,359.37,356.05,304.74,310.37,1785.6,18.453
1.39E-04,4.58E-04,9.32E-04,0.429,0.591,363.79,351.34,304.12,312.39,120.4,8.8661
1.83E-04,0.00103,6.80E-05,0.1,1.836,348.98,320.27,290.76,292.26,11.285,69.803
7.71E-04,6.99E-04,3.20E-04,0.592,0.868,356.24,347.9,302.4,307.58,236.02,16.524
9.00E-05,3.27E-04,4.21E-04,1.909,1.54,367.79,360.72,298.54,306.34,1581.7,47.535
6.66E-04,4.10E-04,7.37E-04,1.949,1.698,372.93,366.68,306.3,312.55,1817.4,59.011
3.25E-04,6.98E-04,0.001152,0.104,1.526,347.06,322.86,300.46,302.02,12.069,52.786
3.93E-04,9.79E-04,5.93E-04,1.181,0.667,345.12,342.44,309.9,314.17,746.1,10.719
4.25E-04,5.06E-04,0.001124,1.637,0.562,355.48,351.73,290.74,300.52,1309.7,9.0783
9.50E-04,6.87E-04,8.34E-04,1.762,1.305,346.83,343.4,295.68,299.75,1687.5,37.616
